Name,Price,URL
"Libertarianism for Beginners","£51.33","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
"Olio","£23.88","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
"Our Band Could Be ...","£57.25","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
"Rip it Up and ...","£35.02","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
"Scott Pilgrim's Precious Little ...","£52.29","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
"Scott Pilgrim's Precious Little ...","£52.29","http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html"
"The Black Maria","£52.15","http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html"
"Olio","£23.88","http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html"
"Rip it Up and ...","£35.02","http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html"
"Mesaerion: The Best Science ...","£37.59","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"Olio","£23.88","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"Our Band Could Be ...","£57.25","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"Rip it Up and ...","£35.02","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"Scott Pilgrim's Precious Little ...","£52.29","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"Set Me Free","£17.46","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"Alice in Wonderland (Alice's ...","£55.53","http://books.toscrape.com/catalogue/sophies-world_966/index.html"
"Emma","£32.93","http://books.toscrape.com/catalogue/sophies-world_966/index.html"
"Sense and Sensibility","£37.46","http://books.toscrape.com/catalogue/sophies-world_966/index.html"
"The Story of Hong ...","£43.19","http://books.toscrape.com/catalogue/sophies-world_966/index.html"
"Alice in Wonderland (Alice's ...","£55.53","http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html"
"Of Mice and Men","£47.11","http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html"
"The Little Prince","£45.42","http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html"
"How Music Works","£37.32","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"Black Dust","£34.53","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"America's Cradle of Quarterbacks: ...","£22.50","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"Worlds Elsewhere: Journeys Around ...","£40.30","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"The Four Agreements: A ...","£17.66","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"The Elephant Tree","£23.82","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"Penny Maybe","£33.29","http://books.toscrape.com/catalogue/category/books_1/page-2.html"
"Sophie's World","£15.94","http://books.toscrape.com/catalogue/the-stranger_861/index.html"
"Alice in Wonderland (Alice's ...","£55.53","http://books.toscrape.com/catalogue/the-stranger_861/index.html"
"Of Mice and Men","£47.11","http://books.toscrape.com/catalogue/the-stranger_861/index.html"
"Sense and Sensibility","£37.46","http://books.toscrape.com/catalogue/the-stranger_861/index.html"
"The Stranger","£17.44","http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html"
"The Death of Humanity: ...","£58.11","http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html"
"Sophie's World","£15.94","http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html"
"Alice in Wonderland (Alice's ...","£55.53","http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html"
"Emma","£32.93","http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html"
"Of Mice and Men","£47.11","http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html"
"At The Existentialist Café: ...","£29.93","http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html"
"The Stranger","£17.44","http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html"
"Critique of Pure Reason","£20.75","http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html"
"Proofs of God: Classical ...","£54.21","http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html"
"Run, Spot, Run: The ...","£20.02","http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html"
"At The Existentialist Café: ...","£29.93","http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html"
"Proofs of God: Classical ...","£54.21","http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html"
"The Stranger","£17.44","http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html"
"Meditations","£25.89","http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html"
"The Nicomachean Ethics","£36.34","http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html"
"Run, Spot, Run: The ...","£20.02","http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html"
"Critique of Pure Reason","£20.75","http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html"
"At The Existentialist Café: ...","£29.93","http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html"
